-730, -13403, -12888,
92.18, 124.08, 134.91,
-1400, -19270, -11257,
92.15, 126.35, 134.36,
2643, -2575, -3957,
91.47, 125.29, 132.25,
-1079, -13489, -3254,
91.43, 126.39, 130.01,
-9483, -32760, -10009,
92.79, 131.57, 129.22,
2076, 1979, 2590,
92.24, 129.50, 125.78,
3862, 185, 2816,
91.53, 127.79, 122.57,
1840, 509, -4147,
91.42, 126.03, 120.74,
-1059, -32760, 2630,
91.84, 130.97, 117.81,
-68, -11860, 1525,
92.10, 131.56, 115.24,
-537, -238, 4663,
92.10, 129.52, 112.94,
-8559, -32614, -9914,
93.59, 136.64, 114.65,
-5668, -21575, -1663,
94.39, 139.39, 112.87,
322, -4096, -232,
94.29, 137.77, 110.74,
-236, -13210, -1561,
94.12, 138.40, 109.07,
-6799, -32760, -230,
94.96, 143.69, 107.18,
-2466, -16807, -1091,
95.09, 145.22, 105.58,
1525, -411, 2031,
94.65, 142.15, 103.36,
3061, -7751, 317,
93.95, 141.17, 101.52,
-563, -32760, 5883,
93.87, 147.03, 98.72,
-372, -17123, 32,
93.75, 148.75, 96.88,
1234, -21, 607,
93.43, 144.80, 94.68,
-8152, -32264, -3906,
94.53, 148.63, 93.49,
-3553, -21009, 106,
95.54, 154.95, 92.83,
-1490, -17284, -1175,
95.60, 156.44, 92.49,
-1893, -14324, -267,
94.37, 149.83, 90.91,
-3204, -13060, -445,
95.23, 155.10, 91.41,
-6201, -32760, 388,
96.87, nan, 91.80,
3147, 3651, 2638,
96.65, 172.43, 90.70,
-2708, -5090, -3082,
96.92, 155.94, 91.63,
1051, -32760, 9865,
96.74, 166.45, 90.28,
-1950, -30698, 2426,
96.74, 152.31, 93.64,
3786, 2352, 434,
94.73, 150.85, 88.60,
2880, -21141, 2816,
93.34, 150.71, 87.87,
-4600, -23526, 109,
94.14, 157.98, 87.82,
-2909, -17012, 53,
94.57, 159.68, 87.56,
-1076, -17575, -553,
93.65, 153.49, 87.61,
-823, -18375, -1502,
93.38, 154.07, 87.68,
917, -4116, -2413,
93.48, 155.47, 88.40,
-5219, -32760, -4470,
94.82, 168.65, 89.17,
289, -11307, -1770,
94.68, 156.90, 90.41,
5102, 86, 493,
93.79, 150.60, 90.34,
-319, -20278, 2270,
94.05, 158.19, 90.07,
-4886, -32760, 6185,
93.52, 158.41, 88.43,
481, -17815, -925,
92.86, 157.04, 88.60,
2636, -218, 2155,
92.19, 150.76, 88.06,
-3397, -31022, -2860,
92.44, 156.89, 88.48,
-4855, -18794, 760,
92.71, 159.38, 88.28,
-1837, -14907, 119,
92.00, 152.32, 88.33,
-2072, -17992, 662,
92.84, 161.20, 88.65,
-1931, -11929, -517,
92.72, 165.02, 88.23,
-2071, -28846, 1690,
93.22, 162.74, 89.56,
-6095, -27022, 1312,
93.22, 168.18, 94.01,
5354, 2958, 1959,
92.97, 162.41, 89.31,
-2384, -3882, 317,
93.82, 154.75, 89.71,
3, -32760, 5922,
93.08, 158.52, 88.77,
-6740, -32760, 3940,
93.70, 167.18, 88.14,
5279, 3567, -264,
92.67, 156.25, 88.10,
-2610, -4878, 99,
92.96, 151.30, 87.84,
-2742, -23331, 5584,
93.55, 158.66, 86.54,
-47, -12334, -984,
92.71, 150.90, 85.98,
-1764, -15256, -897,
93.05, 152.24, 85.83,
-1341, -15954, -1225,
94.09, 158.47, 86.11,
-1595, -17010, -3559,
94.30, 157.07, 87.06,
311, -15548, -4813,
93.45, 150.73, 88.84,
-117, -16831, -6391,
93.55, 150.41, 89.73,
15, -15414, -7885,
93.98, 155.86, 91.35,
-320, -14848, -7518,
93.48, 150.09, 92.11,
