6867, -7582, -12022,
68.88, 117.42, 132.31,
8328, -7194, -12089,
68.38, 117.22, 132.38,
6918, -7155, -11383,
68.45, 116.92, 132.16,
5471, -5428, -13028,
69.07, 116.00, 132.45,
7751, -4286, -14736,
68.33, 114.61, 134.22,
3580, -3159, -13728,
68.84, 112.43, 135.17,
5926, -4271, -12842,
68.75, 110.75, 135.32,
4040, -6090, -13554,
68.75, 106.63, 132.64,
5673, -1626, -15211,
68.92, 108.56, 136.80,
4400, -1533, -12542,
69.58, 106.40, 137.21,
9054, -3403, -16448,
68.81, 104.95, 139.24,
5561, -712, -10965,
69.26, 102.66, 138.72,
2977, -45, -10204,
71.10, 100.29, 137.80,
3018, 1971, -10806,
72.43, 97.30, 137.53,
6378, 1006, -15235,
72.12, 95.21, 138.60,
6085, -2728, -15322,
72.69, 94.70, 138.88,
4879, -2673, -12179,
72.25, 94.54, 138.13,
4594, 141, -10551,
72.70, 93.11, 137.03,
3874, 1975, -13599,
72.70, 91.33, 129.39,
6928, 405, -18162,
72.27, 92.45, 138.45,
8037, 2817, -17438,
71.03, 91.04, 140.90,
7328, 2908, -16481,
71.62, 89.00, 140.92,
6704, 613, -14843,
71.23, 88.57, 142.95,
8098, -1491, -15262,
69.47, 89.04, 145.76,
6559, -1798, -13839,
68.24, 90.26, 147.55,
5242, -2399, -10401,
68.64, 91.36, 144.74,
5300, -3103, -11270,
68.91, 91.48, 142.53,
5962, -3733, -11429,
68.53, 91.83, 142.13,
5161, -1141, -12690,
68.34, 92.24, 143.27,
5548, -1082, -12003,
68.34, 90.58, 134.83,
7826, -1153, -15438,
68.02, 92.75, 141.82,
8739, -1314, -16426,
67.78, 94.09, 141.29,
5291, 1911, -16322,
68.49, 94.41, 141.21,
6298, 1584, -15939,
68.63, 94.10, 141.78,
6368, 1730, -15785,
69.23, 93.05, 142.06,
5036, 652, -16526,
69.76, 92.26, 143.50,
6469, -1111, -15837,
69.33, 91.84, 146.57,
5582, -2259, -14024,
69.23, 91.57, 148.22,
5769, -3290, -11300,
69.30, 91.42, 148.14,
5515, -2602, -11717,
69.18, 91.90, 147.55,
5162, -5305, -14856,
69.18, 89.85, 141.87,
5251, -3485, -13689,
70.07, 92.65, 146.51,
5375, -3290, -12089,
71.22, 93.29, 144.04,
5548, -2297, -10417,
71.14, 94.66, 140.90,
6308, -2185, -14114,
71.13, 95.88, 139.98,
6120, -1237, -16117,
71.22, 96.85, 140.14,
5309, 349, -15073,
71.12, 96.95, 139.42,
5855, 1155, -16838,
71.33, 96.21, 139.92,
5364, 1463, -15724,
71.41, 95.00, 140.78,
4796, 1394, -15328,
71.74, 93.48, 142.89,
5677, -1344, -14138,
71.68, 93.07, 144.21,
6087, -1535, -14465,
71.68, 89.97, 137.94,
5600, -3297, -13998,
71.57, 93.01, 144.38,
5652, -2067, -13298,
71.47, 92.61, 145.06,
5989, -3836, -12579,
71.32, 93.11, 146.30,
4376, -4307, -13298,
71.98, 93.80, 145.83,
5674, -3528, -13644,
72.13, 94.54, 144.43,
5092, -4122, -13302,
72.21, 96.00, 143.45,
4535, -1388, -10242,
72.65, 96.83, 140.00,
4783, -1838, -15036,
72.85, 97.90, 139.66,
4945, -820, -17198,
72.80, 98.63, 140.60,
4288, -681, -18325,
73.27, 98.41, 142.79,
4924, 2358, -16148,
73.27, 95.73, 134.75,
6002, 1018, -15827,
73.13, 97.00, 143.78,
6368, 1021, -16234,
72.89, 96.00, 145.42,
4924, 1024, -14408,
73.25, 94.42, 146.48,
6366, -1742, -14270,
72.58, 93.58, 147.05,
5810, -2066, -13779,
72.53, 93.11, 147.13,
5314, -2526, -11029,
72.46, 92.59, 145.80,
5401, -4300, -11180,
72.16, 93.54, 146.35,
5243, -4090, -12419,
72.01, 94.27, 144.85,
6711, -3640, -13569,
71.40, 95.18, 142.85,
7585, -4073, -14447,
70.27, 96.29, 140.82,
6314, -3797, -13787,
70.27, 94.56, 135.01,
4042, -2258, -9929,
70.95, 97.35, 137.89,
6506, -1696, -15243,
70.90, 98.24, 137.41,
7208, -484, -17027,
70.11, 98.74, 138.68,
3922, 744, -17463,
70.95, 97.92, 140.27,
6641, 2517, -17052,
70.67, 96.43, 141.96,
5787, 2275, -14935,
70.51, 94.86, 144.06,
5146, 700, -14932,
70.59, 93.24, 146.19,
6125, 344, -15400,
70.29, 91.80, 147.97,
5565, -1407, -15471,
70.68, 91.08, 149.15,
7036, -1192, -14543,
70.87, 90.15, 149.21,
6692, -413, -14142,
70.87, 87.25, 143.63,
6451, -2646, -11093,
70.04, 90.27, 149.95,
4026, -5993, -13126,
70.90, 91.67, 148.61,
4876, 3667, -20178,
71.69, 90.32, 150.63,
3133, -1552, -11623,
71.96, 91.06, 146.98,
6665, -4709, -12225,
71.95, 93.41, 144.21,
5500, -9805, -13024,
72.05, 97.34, 143.16,
5758, -8029, -12836,
71.84, 100.20, 142.05,
4527, -9059, -12323,
72.39, 103.31, 140.45,
5445, -8580, -11419,
72.43, 105.71, 138.44,
5984, -9370, -13022,
72.79, 108.48, 137.70,
6236, -8411, -11796,
72.79, 105.47, 136.42,
