-3873, 1412, 16394,
103.96, 84.30, 23.62,
-3970, 1833, 16435,
103.76, 83.94, 24.00,
-3447, 1180, 16455,
103.54, 84.36, 23.77,
-3218, 1098, 16696,
103.06, 84.46, 23.54,
-3155, 2982, 15744,
102.46, 84.00, 23.89,
-8262, 2608, 17271,
103.66, 84.29, 21.42,
-4272, 2593, 18599,
103.88, 84.13, 19.64,
-4742, -3343, 14390,
104.16, 85.67, 21.58,
-6503, -10087, 12347,
104.88, 89.32, 24.87,
-6370, -13820, 8202,
104.88, 91.97, 42.47,
-7166, -10599, 10874,
105.95, 93.34, 28.70,
-6022, -14880, 10116,
106.67, 98.65, 32.68,
-7002, -14621, 9200,
107.70, 104.09, 36.79,
-6320, -12523, 11690,
108.68, 108.71, 39.30,
-4686, -11518, 9635,
109.18, 113.09, 42.78,
-3275, -14029, 8185,
109.22, 119.23, 46.27,
-1783, -16111, 6225,
107.01, 126.45, 51.04,
-2515, -14962, 5361,
106.42, 133.89, 56.36,
-1311, -16016, 5061,
105.26, 139.90, 59.92,
-1363, -17053, 4960,
103.55, 143.54, 62.64,
-1927, -16132, 6112,
103.55, 139.05, 72.13,
-3187, -14937, 7192,
102.22, 145.98, 63.98,
-2913, -12188, 9137,
101.20, 144.45, 64.33,
-4391, -12649, 11079,
100.34, 143.36, 63.65,
-3831, -7372, 12642,
99.52, 140.65, 63.31,
-4626, -5722, 14504,
99.50, 137.78, 61.53,
-6362, 4042, 15991,
100.51, 129.68, 58.61,
-4571, 814, 16139,
101.43, 122.87, 54.77,
-4132, 57, 16120,
101.97, 117.25, 50.38,
-4208, 253, 15129,
102.93, 111.47, 46.01,
-4663, 869, 16681,
104.03, 105.35, 40.47,
-3267, 955, 16040,
104.03, 101.46, 43.49,
-4252, 1230, 16320,
104.38, 99.98, 35.67,
-4458, 1227, 16581,
104.90, 95.60, 31.30,
-3775, 3260, 15752,
104.69, 90.43, 28.25,
-4457, 5574, 19154,
104.90, 86.24, 23.41,
-5010, -1469, 17955,
105.03, 84.86, 20.42,
-3628, -6343, 14926,
104.12, 88.23, 21.39,
-3186, -7130, 13187,
103.65, 90.80, 23.87,
-2683, -11608, 10103,
103.17, 94.58, 28.30,
-5561, -16421, 11670,
103.62, 100.03, 30.58,
-3573, -11866, 10819,
103.26, 104.25, 34.13,
-5155, -12645, 10303,
103.26, 106.39, 48.39,
-4927, -13073, 9728,
103.48, 109.08, 37.77,
-4129, -13769, 9353,
103.37, 114.31, 41.44,
-3526, -15104, 7806,
103.29, 121.03, 45.19,
-1924, -15600, 5624,
102.45, 129.43, 51.08,
-1298, -16679, 4393,
101.22, 136.15, 56.52,
-1347, -16885, 3438,
100.47, 141.32, 60.87,
-1802, -17192, 3363,
100.01, 146.88, 64.46,
-2214, -15894, 3854,
99.86, 149.52, 66.68,
-2220, -15946, 4713,
98.76, 149.21, 69.11,
-2163, -16480, 5724,
98.30, 152.27, 70.87,
-2627, -15508, 7378,
98.30, 145.70, 79.33,
-2248, -13594, 9363,
97.43, 152.64, 70.99,
-3505, -12493, 10999,
97.22, 151.75, 70.43,
-4392, -11918, 12762,
97.51, 149.64, 68.71,
-4001, -8639, 13323,
98.18, 145.44, 66.01,
-4330, -5164, 15498,
99.18, 139.33, 62.01,
-5361, -5199, 19375,
100.50, 133.82, 55.99,
-6316, 1025, 18087,
101.99, 126.12, 50.02,
-2862, 725, 16150,
102.20, 119.71, 44.60,
-4194, 1476, 16508,
102.86, 113.40, 38.86,
-3713, 633, 16010,
103.37, 107.48, 33.19,
-3726, 674, 17078,
103.37, 104.16, 38.02,
-2504, 1989, 16336,
103.46, 102.26, 28.80,
-5294, 807, 15690,
104.05, 97.88, 25.47,
-3423, 4154, 14757,
103.73, 92.65, 23.93,
-9133, -933, 17756,
105.45, 90.16, 20.10,
-7698, -2900, 15997,
106.58, 89.42, 19.62,
-7651, -3767, 14791,
107.36, 88.96, 23.65,
-7374, -8975, 13417,
107.72, 92.20, 27.17,
-6688, -10194, 11520,
109.02, 95.74, 30.29,
-5570, -12419, 10270,
109.49, 100.29, 34.08,
-5662, -12365, 10163,
110.17, 104.60, 37.33,
-4742, -13734, 9133,
110.17, 106.87, 51.30,
-4939, -14044, 8490,
111.01, 110.04, 41.34,
-4253, -14634, 7362,
110.65, 115.46, 45.27,
-2887, -15654, 5690,
110.46, 122.81, 49.27,
-1922, -15632, 4878,
107.99, 128.68, 54.57,
-1265, -15933, 3448,
105.81, 134.32, 59.42,
-1106, -16690, 2517,
103.62, 140.50, 63.93,
-170, -17037, 1489,
101.23, 144.81, 68.16,
-396, -17488, 2194,
99.16, 149.14, 71.38,
-963, -16748, 3435,
97.65, 152.00, 73.70,
-1845, -15461, 5577,
96.41, 154.21, 75.24,
-2349, -14114, 7932,
96.41, 146.55, 82.70,
-2913, -13033, 9139,
95.75, 153.47, 75.02,
-4329, -11938, 10903,
95.77, 151.58, 73.83,
-4494, -9100, 11942,
96.30, 147.40, 71.71,
-4241, -6254, 13462,
97.05, 142.13, 68.76,
-4089, -5228, 16237,
97.97, 136.80, 64.24,
-4873, 8378, 19910,
99.21, 125.96, 57.80,
-4549, 1805, 15916,
100.65, 118.74, 52.09,
-4535, 1309, 15383,
102.01, 112.00, 46.45,
-3910, 1488, 16144,
102.99, 105.75, 40.47,
-3503, 563, 16339,
103.54, 100.42, 34.75,
-3927, 429, 16294,
103.54, 97.44, 39.43,
-2675, 2276, 15907,
103.46, 95.42, 30.70,
-8433, -3009, 17320,
104.83, 92.52, 26.35,
-6743, -3174, 16499,
105.59, 90.60, 22.80,
-6993, -4934, 14541,
106.52, 90.17, 21.88,
-6002, -8510, 12799,
107.16, 91.23, 24.69,
-5552, -10704, 11785,
107.39, 97.43, 30.39,
-4938, -11663, 10884,
107.53, 101.86, 33.47,
-5911, -13074, 9636,
107.99, 106.66, 36.71,
-5627, -13456, 9781,
108.58, 111.79, 40.03,
-4649, -14157, 8692,
108.97, 117.03, 43.74,
-3692, -15523, 7263,
108.97, 119.22, 56.98,
-1884, -16039, 5494,
108.70, 123.91, 48.42,
-795, -16176, 3460,
106.11, 129.22, 54.17,
-377, -16961, 2770,
103.97, 135.26, 59.49,
-472, -17719, 1996,
101.81, 141.49, 64.10,
-425, -17156, 2390,
99.97, 146.24, 67.79,
-1046, -16505, 3424,
98.49, 149.79, 70.68,
-984, -15818, 4225,
97.20, 152.58, 72.95,
-2372, -15252, 6753,
96.04, 154.15, 73.93,
-1157, -14784, 8925,
94.59, 155.16, 74.22,
-974, -12228, 10919,
93.40, 153.71, 73.47,
-3826, -8053, 11486,
93.40, 145.85, 77.99,
-2864, -3738, 16831,
93.72, 145.80, 69.59,
-6668, -3562, 27702,
95.62, 139.09, 60.94,
-4520, -2668, 15338,
96.97, 132.45, 56.17,
-5579, -2164, 16258,
98.64, 125.95, 50.41,
-4160, 483, 16106,
99.87, 119.17, 44.37,
-4210, 1179, 16335,
100.91, 112.79, 38.02,
-4347, 128, 16265,
102.02, 107.30, 31.15,
-3977, 593, 16514,
102.55, 101.99, 24.36,
-3907, 501, 16844,
103.47, 96.97, 17.11,
-4534, 4562, 16230,
104.66, 91.52, 9.68,
-8040, -2846, 16428,
104.66, 92.91, 29.01,
-8416, -2199, 16268,
106.52, 91.02, 10.71,
-5054, -7001, 12880,
105.98, 92.13, 26.00,
-6110, -10015, 14232,
106.51, 94.52, 26.80,
-4659, -11552, 11711,
106.20, 97.57, 29.90,
-4524, -13048, 10252,
106.33, 102.02, 33.51,
-4667, -13640, 9166,
106.48, 106.98, 37.51,
-3501, -14909, 7821,
106.19, 112.15, 41.79,
-3363, -16107, 5367,
105.99, 118.12, 46.96,
-2685, -15837, 3614,
105.58, 124.31, 52.57,
-1510, -17606, 2583,
104.56, 133.55, 57.95,
-471, -17014, 1452,
104.56, 132.78, 69.97,
172, -17063, 1207,
101.71, 140.63, 63.54,
-745, -17326, 2501,
100.29, 146.24, 67.24,
-1307, -16814, 3721,
98.71, 150.44, 70.88,
-883, -16366, 4647,
97.47, 153.77, 73.29,
-109, -15923, 6420,
96.03, 155.96, 74.58,
-279, -15099, 7986,
94.61, 157.15, 74.98,
-1628, -12530, 10964,
94.00, 155.24, 73.92,
-788, -10563, 12434,
93.16, 151.25, 71.52,
-5522, -5735, 13842,
94.08, 145.05, 67.99,
-2996, -1579, 20501,
94.57, 136.81, 61.58,
-5348, 4076, 19438,
94.57, 131.52, 60.51,
-5455, 3098, 15498,
96.40, 127.96, 56.17,
-5171, -542, 16607,
97.84, 121.35, 50.47,
-3133, 52, 16084,
98.44, 115.15, 45.06,
-3934, -177, 16519,
99.44, 109.48, 39.33,
-4058, -543, 16428,
100.74, 104.27, 33.90,
-3936, -425, 16498,
101.94, 99.41, 28.58,
-3818, -186, 16084,
102.67, 95.38, 24.90,
-3883, -168, 16346,
103.70, 92.01, 21.69,
-4004, -402, 16403,
103.19, 90.28, 19.33,
