1032, -16514, -5384,
80.88, 145.92, 110.93,
606, -15792, -4731,
81.31, 144.74, 111.03,
634, -16538, -3191,
81.82, 144.72, 110.13,
-598, -15145, -1929,
82.61, 144.77, 108.76,
250, -16501, -1318,
83.12, 146.04, 107.48,
917, -15853, -1620,
83.12, 139.45, 110.90,
1295, -13369, -2642,
83.74, 147.21, 106.38,
1860, -14617, -2557,
84.22, 148.06, 104.92,
1365, -14811, -3855,
85.21, 148.52, 103.62,
902, -16008, -4501,
86.22, 149.70, 102.46,
1459, -17917, -5027,
87.15, 152.69, 101.45,
722, -18121, -5508,
87.25, 153.84, 101.49,
883, -19164, -3992,
87.16, 156.44, 101.25,
876, -18836, -3279,
87.08, 158.38, 101.28,
417, -14545, -3317,
86.75, 157.86, 101.74,
27, -25565, -4478,
86.82, 167.81, 102.79,
1808, -15372, -5574,
86.82, 153.09, 107.05,
2917, -17009, -7146,
86.30, 176.41, 104.29,
2084, -15401, -5935,
86.22, nan, 105.42,
1098, -13191, -3689,
86.31, 173.37, 105.36,
998, -13145, -3272,
86.28, 167.72, 104.95,
-167, -15055, -1766,
86.81, 163.94, 103.86,
61, -16757, -816,
87.02, 162.41, 102.30,
-298, -16818, 92,
87.40, 160.05, 100.95,
-134, -17375, 499,
87.73, 158.71, 99.71,
130, -16284, -97,
87.82, 160.32, 98.65,
311, -16142, -221,
87.73, 152.66, 97.26,
-1639, -15926, 519,
87.73, 143.27, 100.13,
-357, -14784, -705,
88.79, 151.13, 95.16,
264, -14850, -1893,
89.38, 150.76, 93.85,
957, -16914, -4274,
89.43, 153.34, 94.04,
380, -16329, -4902,
89.63, 155.73, 94.57,
1523, -18293, -4958,
89.08, 158.43, 95.60,
658, -16944, -3906,
88.89, 158.59, 96.61,
1070, -19915, -5040,
88.44, 161.53, 98.29,
884, -16366, -4170,
88.12, 160.53, 99.82,
805, -14748, -3840,
87.90, 159.09, 101.05,
1118, -23350, -4560,
87.63, 167.13, 102.48,
468, -17664, -4823,
87.63, 152.71, 108.18,
1087, -18249, -5850,
87.17, 173.96, 104.20,
1097, -17041, -4748,
86.90, nan, 105.15,
118, -11845, -2013,
87.17, 168.01, 104.39,
522, -12010, -735,
87.12, 162.51, 103.01,
-731, -16441, -173,
87.85, 160.61, 101.42,
-360, -17283, -591,
88.18, 160.95, 100.33,
-319, -16697, -143,
88.63, 157.98, 98.72,
537, -16972, -816,
88.75, 158.51, 97.62,
-599, -15615, -748,
89.20, 159.29, 96.61,
-574, -15173, -534,
89.75, 152.77, 95.30,
30, -14322, -1787,
89.75, 141.80, 98.06,
693, -15340, -4561,
89.88, 150.77, 94.88,
1197, -17949, -4127,
89.84, 151.38, 94.68,
643, -17659, -4966,
89.67, 155.60, 95.64,
2001, -17974, -3721,
89.19, 160.80, 96.61,
226, -21786, -3671,
88.88, 167.06, 97.76,
645, -19828, -3484,
88.56, 171.49, 98.70,
1349, -19134, -6065,
88.02, nan, 100.65,
1069, -16620, -5364,
87.85, nan, 102.15,
1859, -16888, -6297,
87.05, nan, 103.99,
2123, -14940, -4168,
86.17, nan, 105.21,
788, -12048, -2264,
86.17, 156.28, 107.74,
1178, -13813, -823,
86.02, 176.40, 103.96,
92, -16460, -575,
86.38, 171.73, 102.78,
19, -17156, -252,
86.58, 170.67, 101.22,
240, -16670, 96,
87.15, 168.35, 99.96,
143, -16545, 171,
87.18, 161.76, 98.70,
377, -12816, -1249,
87.26, 155.53, 97.97,
191, -14261, -1058,
87.64, 151.96, 96.33,
631, -15624, -2594,
87.78, 151.28, 95.43,
913, -16069, -4789,
88.09, 150.73, 94.94,
620, -17192, -5184,
88.57, 152.26, 95.27,
601, -17511, -6316,
88.57, 143.48, 100.73,
1418, -17394, -5433,
88.50, 154.87, 96.77,
2013, -21447, -6278,
87.87, 158.99, 98.64,
1766, -21051, -8370,
87.31, 162.85, 101.31,
2227, -15768, -7281,
86.66, 161.88, 103.75,
2020, -15978, -7594,
86.05, 161.30, 106.36,
1718, -14942, -5372,
85.62, 163.58, 107.75,
943, -12833, -2931,
85.37, 162.02, 108.39,
79, -12001, -1726,
85.55, 158.54, 108.10,
605, -15835, -1226,
85.65, 158.34, 106.89,
-695, -16595, -109,
86.08, 157.82, 105.18,
-80, -17143, -219,
86.08, 145.91, 109.15,
-195, -16524, -265,
86.60, 157.08, 103.45,
-428, -15607, -653,
87.40, 152.63, 101.58,
-39, -14186, -1062,
87.98, 148.13, 99.18,
332, -13778, -2416,
88.59, 146.93, 97.58,
44, -14195, -4449,
89.23, 145.89, 96.56,
1976, -13527, -5595,
89.15, 145.08, 96.63,
1339, -15219, -7635,
89.02, 146.45, 98.17,
1836, -17596, -7122,
88.45, 149.89, 99.94,
1411, -17636, -6154,
88.19, 151.07, 101.56,
1233, -18529, -5822,
87.57, 152.39, 103.46,
730, -18595, -5504,
87.57, 142.06, 109.65,
2846, -20353, -8246,
86.58, 155.20, 106.13,
2128, -15030, -6750,
85.75, 154.76, 108.20,
2839, -14991, -8293,
84.82, 155.38, 110.68,
2474, -14110, -7182,
84.12, 155.64, 112.34,
2065, -13376, -5862,
83.46, 155.00, 112.83,
2304, -12084, -3985,
83.36, 153.92, 112.27,
1889, -14239, -3571,
83.18, 153.21, 110.85,
3671, -17029, -4920,
82.58, 152.80, 110.09,
4108, -15396, -5485,
81.70, 151.26, 109.86,
3992, -14795, -5850,
80.79, 148.83, 109.87,
